iter	Passed	Remaining
0	86	42973
1	125	31220
2	153	25431
3	168	20907
4	190	18854
5	208	17199
6	233	16475
7	260	16037
8	282	15425
9	302	14830
10	324	14405
11	342	13934
12	366	13717
13	385	13374
14	404	13066
15	423	12798
16	441	12553
17	460	12318
18	479	12146
19	510	12256
20	532	12141
21	553	12030
22	576	11961
23	597	11840
24	621	11807
25	644	11754
26	665	11655
27	690	11633
28	718	11670
29	742	11630
30	763	11547
31	784	11476
32	807	11425
33	828	11359
34	851	11306
35	868	11198
36	886	11092
37	905	11005
38	925	10938
39	947	10891
40	965	10812
41	985	10747
42	1010	10740
43	1029	10667
44	1054	10662
45	1073	10598
46	1101	10614
47	1125	10595
48	1150	10585
49	1179	10616
50	1205	10609
51	1247	10750
52	1287	10855
53	1325	10946
54	1365	11046
55	1409	11172
56	1437	11170
57	1463	11152
58	1488	11127
59	1514	11109
60	1542	11102
61	1569	11086
62	1599	11094
63	1635	11138
64	1665	11145
65	1692	11127
66	1714	11081
67	1737	11039
68	1762	11007
69	1788	10989
70	1813	10956
71	1836	10919
72	1860	10885
73	1885	10856
74	1908	10812
75	1933	10789
76	1959	10765
77	1984	10737
78	2008	10705
79	2034	10679
80	2062	10669
81	2088	10646
82	2115	10627
83	2138	10592
84	2162	10560
85	2193	10558
86	2224	10557
87	2248	10528
88	2272	10492
89	2296	10462
90	2322	10439
91	2346	10404
92	2370	10374
93	2394	10342
94	2421	10321
95	2449	10306
96	2473	10274
97	2498	10249
98	2524	10225
99	2549	10198
100	2575	10173
101	2600	10145
102	2628	10130
103	2654	10106
104	2677	10071
105	2703	10048
106	2728	10021
107	2754	9996
108	2779	9971
109	2804	9944
110	2831	9923
111	2858	9904
112	2881	9868
113	2906	9842
114	2931	9814
115	2960	9800
116	2984	9769
117	3005	9728
118	3030	9702
119	3053	9670
120	3081	9652
121	3110	9638
122	3140	9626
123	3166	9601
124	3188	9566
125	3222	9564
126	3254	9557
127	3279	9531
128	3305	9507
129	3332	9485
130	3364	9477
131	3394	9463
132	3426	9455
133	3452	9430
134	3480	9411
135	3509	9394
136	3538	9376
137	3564	9350
138	3592	9329
139	3623	9318
140	3651	9297
141	3678	9273
142	3706	9253
143	3736	9237
144	3768	9226
145	3799	9213
146	3829	9196
147	3858	9177
148	3886	9154
149	3918	9142
150	3943	9115
151	3968	9086
152	3994	9058
153	4018	9028
154	4043	9000
155	4066	8966
156	4089	8935
157	4117	8913
158	4137	8873
159	4167	8856
160	4193	8828
161	4218	8801
162	4243	8772
163	4277	8764
164	4304	8738
165	4330	8712
166	4355	8684
167	4378	8653
168	4402	8621
169	4427	8595
170	4454	8569
171	4485	8554
172	4526	8555
173	4566	8555
174	4606	8554
175	4646	8553
176	4686	8552
177	4728	8554
178	4769	8552
179	4812	8554
180	4846	8542
181	4886	8537
182	4913	8510
183	4946	8495
184	4972	8466
185	4998	8439
186	5025	8412
187	5050	8381
188	5075	8352
189	5105	8330
190	5136	8309
191	5163	8283
192	5190	8256
193	5218	8231
194	5244	8202
195	5270	8175
196	5304	8158
197	5334	8136
198	5360	8108
199	5389	8084
200	5418	8060
201	5448	8037
202	5482	8020
203	5514	8002
204	5551	7988
205	5583	7967
206	5618	7952
207	5653	7936
208	5684	7914
209	5712	7888
